# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
1.54509       	DILUPBiCGStab	3.727580e-06	1.584160e-10	1	1.983340e-05	5.342150e-10	1	false	GAMG	1.322180e-07	1.372350e-09	1	true
1.54509       	DILUPBiCGStab	3.727530e-06	1.578700e-10	1	1.982900e-05	5.335690e-10	1	false	GAMG	1.293420e-07	1.348720e-09	1	true
1.5451        	DILUPBiCGStab	3.730550e-06	1.577260e-10	1	1.984460e-05	5.347040e-10	1	false	GAMG	1.274660e-07	1.345640e-09	1	true
1.5451        	DILUPBiCGStab	3.730090e-06	1.571420e-10	1	1.984160e-05	5.350250e-10	1	false	GAMG	1.241200e-07	1.347160e-09	1	true
1.54511       	DILUPBiCGStab	3.729500e-06	1.566340e-10	1	1.983960e-05	5.350730e-10	1	false	GAMG	1.073980e-07	1.348290e-09	1	true
1.54511       	DILUPBiCGStab	3.732300e-06	1.566110e-10	1	1.985600e-05	5.373410e-10	1	false	GAMG	1.295940e-07	1.351020e-09	1	true
1.54511       	DILUPBiCGStab	3.732380e-06	1.561850e-10	1	1.985600e-05	5.375650e-10	1	false	GAMG	1.296940e-07	1.367790e-09	1	true
1.54512       	DILUPBiCGStab	3.732770e-06	1.557770e-10	1	1.985620e-05	5.377670e-10	1	false	GAMG	1.313210e-07	1.396110e-09	1	true
1.54512       	DILUPBiCGStab	3.734650e-06	1.555810e-10	1	1.985970e-05	5.378580e-10	1	false	GAMG	1.202180e-07	1.465600e-09	1	true
1.54512       	DILUPBiCGStab	3.740540e-06	1.559890e-10	1	1.988470e-05	5.406520e-10	1	false	GAMG	1.501040e-07	1.439210e-09	1	true
1.54513       	DILUPBiCGStab	3.741140e-06	1.557180e-10	1	1.989320e-05	5.446410e-10	1	false	GAMG	1.387840e-07	1.420720e-09	1	true
1.54513       	DILUPBiCGStab	3.740020e-06	1.550970e-10	1	1.989400e-05	5.463000e-10	1	false	GAMG	1.201190e-07	1.405460e-09	1	true
1.54514       	DILUPBiCGStab	3.738630e-06	1.543200e-10	1	1.989280e-05	5.450740e-10	1	false	GAMG	1.429390e-07	1.416110e-09	1	true
1.54514       	DILUPBiCGStab	3.737900e-06	1.536800e-10	1	1.988830e-05	5.438420e-10	1	false	GAMG	1.146180e-07	1.385880e-09	1	true
1.54514       	DILUPBiCGStab	3.737950e-06	1.531900e-10	1	1.989250e-05	5.439010e-10	1	false	GAMG	1.367920e-07	1.349340e-09	1	true
1.54515       	DILUPBiCGStab	3.738080e-06	1.527790e-10	1	1.989280e-05	5.445720e-10	1	false	GAMG	1.105010e-07	1.341370e-09	1	true
1.54515       	DILUPBiCGStab	3.738100e-06	1.523750e-10	1	1.989760e-05	5.457240e-10	1	false	GAMG	1.373600e-07	1.335310e-09	1	true
1.54515       	DILUPBiCGStab	3.737800e-06	1.519240e-10	1	1.989600e-05	5.457300e-10	1	false	GAMG	1.112660e-07	1.342030e-09	1	true
1.54516       	DILUPBiCGStab	3.737870e-06	1.514800e-10	1	1.989930e-05	5.463490e-10	1	false	GAMG	1.361500e-07	1.349610e-09	1	true
1.54516       	DILUPBiCGStab	3.738490e-06	1.510950e-10	1	1.989650e-05	5.462920e-10	1	false	GAMG	1.088640e-07	1.368500e-09	1	true
1.54516       	DILUPBiCGStab	3.740010e-06	1.508110e-10	1	1.989790e-05	5.463220e-10	1	false	GAMG	1.436360e-07	1.383590e-09	1	true
1.54517       	DILUPBiCGStab	3.741780e-06	1.506830e-10	1	1.989440e-05	5.464960e-10	1	false	GAMG	1.207120e-07	1.380110e-09	1	true
1.54517       	DILUPBiCGStab	3.743410e-06	1.505440e-10	1	1.990780e-05	5.501330e-10	1	false	GAMG	1.422420e-07	1.338260e-09	1	true
1.54518       	DILUPBiCGStab	3.741770e-06	1.499410e-10	1	1.990330e-05	5.501450e-10	1	false	GAMG	1.135520e-07	1.362580e-09	1	true
1.54518       	DILUPBiCGStab	3.741430e-06	1.494320e-10	1	1.990130e-05	5.506060e-10	1	false	GAMG	1.133260e-07	1.370610e-09	1	true
1.54518       	DILUPBiCGStab	3.742010e-06	1.491130e-10	1	1.990460e-05	5.510840e-10	1	false	GAMG	1.349980e-07	1.396100e-09	1	true
1.54519       	DILUPBiCGStab	3.743280e-06	1.488770e-10	1	1.990690e-05	5.524570e-10	1	false	GAMG	1.055210e-07	1.425500e-09	1	true
1.54519       	DILUPBiCGStab	3.745170e-06	1.486890e-10	1	1.991390e-05	5.551730e-10	1	false	GAMG	1.072470e-07	1.446290e-09	1	true
1.54519       	DILUPBiCGStab	3.744800e-06	1.482540e-10	1	1.991420e-05	5.560050e-10	1	false	GAMG	1.376220e-07	1.441520e-09	1	true
1.5452        	DILUPBiCGStab	3.742750e-06	1.476010e-10	1	1.990580e-05	5.559770e-10	1	false	GAMG	1.229110e-07	1.439810e-09	1	true
1.5452        	DILUPBiCGStab	3.741780e-06	1.470870e-10	1	1.990520e-05	5.563140e-10	1	false	GAMG	1.054730e-07	1.440130e-09	1	true
1.54521       	DILUPBiCGStab	3.741890e-06	1.466830e-10	1	1.991080e-05	5.561050e-10	1	false	GAMG	1.316190e-07	1.454900e-09	1	true
1.54521       	DILUPBiCGStab	3.743560e-06	1.464550e-10	1	1.991320e-05	5.558750e-10	1	false	GAMG	1.147990e-07	1.498320e-09	1	true
1.54521       	DILUPBiCGStab	3.745920e-06	1.463800e-10	1	1.991550e-05	5.560890e-10	1	false	GAMG	1.111050e-07	1.463770e-09	1	true
1.54522       	DILUPBiCGStab	3.745500e-06	1.461140e-10	1	1.991670e-05	5.595640e-10	1	false	GAMG	1.144830e-07	1.417280e-09	1	true
1.54522       	DILUPBiCGStab	3.743840e-06	1.455410e-10	1	1.991990e-05	5.621010e-10	1	false	GAMG	1.198180e-07	1.445460e-09	1	true
1.54522       	DILUPBiCGStab	3.743620e-06	1.450720e-10	1	1.992270e-05	5.619080e-10	1	false	GAMG	1.144010e-07	1.425920e-09	1	true
1.54523       	DILUPBiCGStab	3.743690e-06	1.446750e-10	1	1.992550e-05	5.620190e-10	1	false	GAMG	1.083470e-07	1.428390e-09	1	true
1.54523       	DILUPBiCGStab	3.743860e-06	1.442440e-10	1	1.992700e-05	5.630760e-10	1	false	GAMG	1.075700e-07	1.411210e-09	1	true
1.54523       	DILUPBiCGStab	3.744130e-06	1.438760e-10	1	1.992700e-05	5.637770e-10	1	false	GAMG	1.073960e-07	1.419110e-09	1	true
1.54524       	DILUPBiCGStab	3.744140e-06	1.435240e-10	1	1.992590e-05	5.656230e-10	1	false	GAMG	1.078600e-07	1.411780e-09	1	true
1.54524       	DILUPBiCGStab	3.744040e-06	1.432220e-10	1	1.992550e-05	5.662330e-10	1	false	GAMG	1.091320e-07	1.407860e-09	1	true
1.54525       	DILUPBiCGStab	3.743910e-06	1.429200e-10	1	1.992420e-05	5.659910e-10	1	false	GAMG	1.080770e-07	1.404060e-09	1	true
1.54525       	DILUPBiCGStab	3.744060e-06	1.427050e-10	1	1.992370e-05	5.659460e-10	1	false	GAMG	1.076640e-07	1.412860e-09	1	true
1.54525       	DILUPBiCGStab	3.748970e-06	1.429810e-10	1	1.994160e-05	5.685590e-10	1	false	GAMG	1.132180e-07	1.460820e-09	1	true
1.54526       	DILUPBiCGStab	3.752580e-06	1.431260e-10	1	1.994560e-05	5.693820e-10	1	false	GAMG	1.189640e-07	1.505460e-09	1	true
