# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.54829       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.273014e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.54829       	p_rgh         	1.778853e+03	(2.272054e-02 1.479423e-02 1.100000e-02)	1	7.084533e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.54829       	omega         	1.313692e+02	(1.107825e+00 -3.643142e-02 1.100000e-02)	8	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.54867       	U             	(-2.651452e+00 -2.838915e-01 -8.970286e-27)	(1.289268e-02 1.521113e-02 1.100000e-02)	0	(1.135257e+01 1.062513e+00 3.770576e-27)	(5.228511e-02 2.043225e-02 1.100000e-02)	5
1.54867       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.273115e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.54867       	p_rgh         	1.770987e+03	(2.348975e-02 1.469765e-02 1.100000e-02)	1	7.085031e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.54867       	omega         	1.315814e+02	(1.107825e+00 -3.643142e-02 1.100000e-02)	8	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.54904       	U             	(-2.866225e+00 -1.604675e-01 -2.140211e-27)	(1.371575e-02 1.515258e-02 1.100000e-02)	0	(1.124534e+01 1.013244e+00 1.327089e-27)	(6.637247e-03 1.787976e-02 1.100000e-02)	0
1.54904       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.273193e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.54904       	p_rgh         	1.768470e+03	(2.427344e-02 1.466074e-02 1.100000e-02)	1	7.084886e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.54904       	omega         	1.318003e+02	(1.107825e+00 -3.643142e-02 1.100000e-02)	8	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.54942       	U             	(-2.996301e+00 -1.035440e-01 -2.371032e-27)	(1.434394e-02 1.509669e-02 1.100000e-02)	0	(1.127522e+01 1.008350e+00 1.149304e-27)	(6.637247e-03 1.787976e-02 1.100000e-02)	0
1.54942       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.273247e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
