# y+ ()       
# Time        	patch         	min           	max           	average       
5e-07         	hub	1.305699e-01	8.648007e+00	3.534824e+00
5e-07         	tip	1.776137e+00	9.094870e+01	6.957850e+01
1e-06         	hub	1.039301e-01	8.629523e+00	3.530407e+00
1e-06         	tip	1.721260e+00	9.098089e+01	6.957110e+01
